"id","ip_src","ip_dst","id_pac","a_return_rec","flags_authenticated","flags_authoritative","flags_opcode","flags_rcode","flags_recavail","flags_recdesired","flags_response","flags_truncated","flags_z","qry_class","qry_name","qry_type","resp_class","resp_ttl","resp_type","response_to","time","count_add_rr","count_answers","count_auth_rr","count_labels","count_queries","date_added"
1,"192.168.212.129","192.168.212.2","0x0000e018",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","ebalovo.net","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
2,"192.168.212.129","192.168.212.2","0x00002322",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","ebalovo.net","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
3,"192.168.212.2","192.168.212.129","0x0000e018","","0","0","0","3","1","1","1","0","0","0x00000001","ebalovo.net","1","","","","37",NULL,"0","0","0","2","1","2023-03-04"
4,"192.168.212.2","192.168.212.129","0x00002322","","0","0","0","3","1","1","1","0","0","0x00000001","ebalovo.net","28","","","","38",NULL,"0","0","0","2","1","2023-03-04"
5,"192.168.212.129","192.168.212.2","0x00004b76",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","ebalovo.net.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
6,"192.168.212.129","192.168.212.2","0x0000151e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","ebalovo.net.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
7,"192.168.212.2","192.168.212.129","0x00004b76","","0","1","0","3","0","0","1","0","0","0x00000001","ebalovo.net.localdomain","1","","","","41",NULL,"0","0","0","3","1","2023-03-04"
8,"192.168.212.2","192.168.212.129","0x0000151e","","0","1","0","3","0","0","1","0","0","0x00000001","ebalovo.net.localdomain","28","","","","42",NULL,"0","0","0","3","1","2023-03-04"
9,"192.168.212.129","192.168.212.2","0x0000f7e2",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","ebalovo.com","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
10,"192.168.212.129","192.168.212.2","0x0000f82b",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","ebalovo.com","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
11,"192.168.212.2","192.168.212.129","0x0000f7e2","","0","0","0","3","1","1","1","0","0","0x00000001","ebalovo.com","1","","","","45",NULL,"0","0","0","2","1","2023-03-04"
12,"192.168.212.2","192.168.212.129","0x0000f82b","","0","0","0","3","1","1","1","0","0","0x00000001","ebalovo.com","28","","","","46",NULL,"0","0","0","2","1","2023-03-04"
13,"192.168.212.129","192.168.212.2","0x0000e407",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","ebalovo.com.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
14,"192.168.212.129","192.168.212.2","0x00000268",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","ebalovo.com.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
15,"192.168.212.2","192.168.212.129","0x00000268","","0","1","0","3","0","0","1","0","0","0x00000001","ebalovo.com.localdomain","28","","","","50",NULL,"0","0","0","3","1","2023-03-04"
16,"192.168.212.2","192.168.212.129","0x0000e407","","0","1","0","3","0","0","1","0","0","0x00000001","ebalovo.com.localdomain","1","","","","49",NULL,"0","0","0","3","1","2023-03-04"
17,"192.168.212.129","192.168.212.2","0x0000628c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","home.ru","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
18,"192.168.212.129","192.168.212.2","0x0000b4e7",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","home.ru","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
19,"192.168.212.2","192.168.212.129","0x0000628c","193.26.18.114","0","0","0","0","1","1","1","0","0","0x00000001","home.ru","1","0x00000001","5","1","57",NULL,"0","1","0","2","1","2023-03-04"
20,"192.168.212.2","192.168.212.129","0x0000b4e7","","0","0","0","0","1","1","1","0","0","0x00000001","home.ru","28","0x00000001","5","6","58",NULL,"0","0","1","2","1","2023-03-04"
21,"192.168.212.129","192.168.212.2","0x00001c20",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","114.18.26.193.in-addr.arpa","12",NULL,NULL,NULL,NULL,NULL,"0","0","0","6","1","2023-03-04"
22,"192.168.212.2","192.168.212.129","0x00001c20","","0","0","0","0","1","1","1","0","0","0x00000001","114.18.26.193.in-addr.arpa","12","0x00000001","5","12","67",NULL,"0","1","0","6","1","2023-03-04"
23,"192.168.212.129","192.168.212.2","0x00002c0c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.ua","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
24,"192.168.212.129","192.168.212.2","0x0000e5da",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.ua","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
25,"192.168.212.2","192.168.212.129","0x00002c0c","","0","0","0","3","1","1","1","0","0","0x00000001","how.ua","1","0x00000001","5","6","77",NULL,"0","0","1","2","1","2023-03-04"
26,"192.168.212.2","192.168.212.129","0x0000e5da","","0","0","0","3","1","1","1","0","0","0x00000001","how.ua","28","0x00000001","5","6","78",NULL,"0","0","1","2","1","2023-03-04"
27,"192.168.212.129","192.168.212.2","0x0000aff3",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.ua.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
28,"192.168.212.129","192.168.212.2","0x000013ed",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.ua.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
29,"192.168.212.2","192.168.212.129","0x0000aff3","","0","1","0","3","0","0","1","0","0","0x00000001","how.ua.localdomain","1","","","","81",NULL,"0","0","0","3","1","2023-03-04"
30,"192.168.212.2","192.168.212.129","0x000013ed","","0","1","0","3","0","0","1","0","0","0x00000001","how.ua.localdomain","28","","","","82",NULL,"0","0","0","3","1","2023-03-04"
31,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
32,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
33,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
34,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
35,"192.168.212.129","192.168.212.2","0x00000ebc",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
36,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
37,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
38,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
39,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
40,"192.168.212.129","192.168.212.2","0x00000ebc",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
41,"192.168.212.129","192.168.212.2","0x0000f52c",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
42,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
43,"192.168.212.129","192.168.212.2","0x000033f0",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk.localdomain","28",NULL,NULL,NULL,NULL,NULL,"0","0","0","3","1","2023-03-04"
44,"192.168.212.129","192.168.212.2","0x00005f0e",NULL,NULL,NULL,"0",NULL,NULL,"1","0","0","0","0x00000001","how.uk","1",NULL,NULL,NULL,NULL,NULL,"0","0","0","2","1","2023-03-04"
